"DOY" "Depth" "C2N"
50 151.3 5.32407407407407
79 5.6 6.07476635514017
79 24.9 6.52866242038217
79 45.9 6.36103151862465
79 76.8 10.1628664495114
79 101.1 6.15384615384615
79 125.3 5.94405594405595
79 152.3 5.83333333333335
79 176 5.49019607843138
109 4.9 6.53386454183266
109 25.4 6.56666666666666
109 44.8 6.656050955414
109 75.1 6.28664495114008
109 99.6 6.28398791540787
109 125.7 5.69721115537847
109 150.3 6.01063829787235
109 175 5.81250000000001
109 249.5 6.4705882352941
139 7.3 8.38235294117648
139 27 11.993006993007
139 47.2 15.7342657342657
139 76.7 8.85245901639344
139 101.5 8.60557768924301
139 125.4 11.0526315789474
139 149.9 8.57142857142855
139 173.8 10.2597402597403
139 246.4 10.6122448979592
200 4.6 8.39590443686004
200 24.6 8.69706840390877
200 45.2 8.76221498371332
200 75.3 9.12772585669782
200 99.6 8.33753148614609
200 124.3 8.94339622641511
200 149.7 7.12871287128712
200 174.7 6.986301369863
200 249.8 8.70129870129873
231 25 7.62057877813506
231 44.7 8.08252427184464
231 75 7.13414634146342
231 99.7 6.74911660777384
231 124.6 6.09318996415769
231 150.5 6.96969696969698
231 175.6 6.31999999999999
231 249.1 8.88888888888889
292 24.5 7.92531120331951
292 44.7 6.8627450980392
292 74.2 6.97318007662837
292 98.9 6.86098654708521
292 124.2 7.09677419354838
292 149.7 6.38655462184874
292 174.7 5.90909090909092
292 249.4 6.88888888888887
324 4.4 7.83269961977188
324 23.9 8.13559322033896
324 43.9 8.12500000000001
324 73.7 7.58333333333333
324 99.1 6.85950413223143
324 125.1 8.42465753424657
324 149.6 8.31858407079645
324 176.3 6.55555555555555
353 5.3 7.72058823529409
353 24.8 7.06666666666667
353 44.6 7.30434782608695
353 75.1 6.54723127035831
353 100.6 7.12962962962964
353 125.3 7.36263736263737
353 150.2 6.32653061224491
353 174.8 7.02380952380953
51 4.3 7.66816143497759
51 24.7 7.28744939271256
51 44.9 7.67932489451478
51 74.4 7.39130434782608
51 98.7 7.36434108527129
51 123.8 6.79558011049726
51 149.4 7.22488038277512
51 174.9 5.5952380952381
51 4.5 6.88524590163936
51 25.5 6.3970588235294
51 44.6 7.13207547169812
51 76.2 7.41803278688525
51 98.8 6.45669291338582
51 124.2 6.74641148325358
51 149.8 7.19424460431655
51 175.3 5.61224489795919
80 5.1 10
80 25 8.92720306513412
80 45.3 8.46456692913385
80 74 8.12500000000001
80 100.6 7.79342723004696
80 125.3 7.93548387096772
80 149 8
80 173.9 7.38095238095238
80 249.8 8.50000000000003
110 4.2 8.42741935483869
110 24.8 9.96296296296295
110 45.4 8.7301587301587
110 75.3 8.3467741935484
110 99.7 7.50915750915751
110 149.8 8.01282051282051
110 174.3 9.61904761904762
110 250 14.4444444444444
110 124.1 7.07182320441989
140 4.3 6.54545454545454
140 24.2 6.33561643835616
140 43.9 6.82274247491641
140 74.6 6.45484949832776
140 99.2 6.00840336134455
140 124.1 5.66308243727597
140 148.5 5.86956521739132
140 175.8 5.58823529411764
172 3.9 7.65498652291107
172 29.6 8.64341085271318
172 44 6.57243816254415
172 74 6.20967741935484
172 99.4 5.92760180995475
172 123.6 5.42288557213929
172 149.1 6.73758865248227
172 174.2 6.66666666666667
172 249.5 6.61016949152544
201 3.6 7.51773049645392
201 249.5 7.7049180327869
201 124.2 5.59405940594058
201 148.2 5.91463414634145
201 175.2 5.60747663551403
201 4.4 7.43362831858405
201 14.3 7.15384615384616
201 24.3 7.44813278008301
201 59.5 7.05215419501132
201 104.3 6.57142857142858
201 150.2 5.86206896551723
232 5.2 6.65289256198348
232 25.3 6.46840148698886
232 44.6 6.66666666666667
232 74.2 6.55797101449275
232 100 5.89041095890411
232 125 5.6711409395973
232 149.7 6.0294117647059
232 175.6 6.12903225806452
293 4.6 7.42307692307691
293 24.9 6.53284671532847
293 45.3 6.64150943396226
293 74.4 6.54255319148934
293 99.1 5.57603686635944
293 124.4 5.88607594936707
293 148.8 5.70175438596493
293 175.8 5.57142857142859
324 4.7 6.16187989556137
324 24.7 6.72131147540984
324 44.6 6.90140845070425
324 74.8 6.28070175438597
324 100.3 5.76512455516014
324 125.2 5.95628415300546
324 174.2 5.42553191489362
324 199.2 5.84415584415585
324 249.7 6.11940298507464
355 4.3 6.60079051383399
355 23.9 6.79841897233201
355 44.6 6.52014652014652
355 74.7 5.96837944664032
355 98.7 5.3125
355 124.1 5.70707070707071
355 150.9 5.32786885245901
355 175.4 5.23809523809524
355 200.3 5.64705882352942
355 249.1 5.57692307692308
20 3.9 5.62248995983935
20 24 5.65040650406504
20 43.8 5.63758389261746
20 73.3 5.44776119402986
20 100.3 5.50847457627117
20 122.8 5.73529411764707
20 149.7 5.56390977443608
20 174.6 5.33898305084747
20 199 5.28735632183907
20 248.7 6.71052631578948
51 24.4 5.62248995983935
51 44.6 5.89641434262947
51 74 5.695067264574
51 99 8.13084112149536
51 125.4 5.65573770491802
51 148.5 5.80000000000001
51 174.9 5.75471698113207
51 199.3 5.53571428571427
51 249.3 6.4
79 75.4 5.64
79 3.6 6.74418604651161
79 24.6 6.32812499999999
79 43.7 6.75675675675676
79 74.8 5.93283582089552
79 99.1 6.22317596566523
79 123.1 5.850622406639
79 149 6.05504587155964
79 173.7 5.94059405940595
79 199.3 5.67901234567902
110 3.6 5.89958158995815
110 23.7 5.98290598290599
110 43.6 6.17021276595746
110 73.3 6.03015075376886
110 98.9 5.85774058577405
110 125.3 6.09243697478991
110 149.5 5.61576354679801
110 173.3 5.61538461538461
110 198 5.87628865979382
110 249.2 6.31578947368422
140 4.8 6.61073825503355
140 24.1 6.69999999999998
140 44.7 6.33734939759035
140 99.5 6.15720524017465
140 124.2 6.06194690265487
140 149.4 6.18055555555555
140 175.6 6.37362637362637
140 200.3 6.2121212121212
140 249.5 6.25
171 3.7 7.02290076335878
171 23.3 7.11382113821136
171 44.4 7.70072992700732
171 73.4 6.93181818181819
171 98.6 6.38655462184874
171 124.6 5.84615384615386
171 147.9 6.48648648648647
171 174 6.49484536082474
171 198.8 5.60606060606062
201 4 6.88212927756654
201 24.9 7.08333333333335
201 44 6.86131386861313
201 74.2 6.38297872340424
201 98.8 5.83333333333335
201 124.3 6.25
201 149.5 6.57894736842105
201 174.3 6.5217391304348
201 199.5 6.07142857142858
