"DOY" "Depth" "DIP"
63 134.2 0.17
63 149.2 0.1973
63 174.9 0.3106
63 200 0.4112
97 4.8 0.1397
97 9.7 0.1505
97 24.6 0.13
97 24.6 0.1436
97 44.2 0.1397
97 50 0.1123
97 74.3 0.1
97 74.3 0.1026
97 99 0.1
97 105.1 0.1016
97 115.1 0.09
97 124.3 0.0889
97 149.5 0.1201
97 174.4 0.1924
97 199.5 0.207
97 250 0.28
97 200.2 0.16
97 249.6 0.31
97 63.8 0.11
97 109.4 0.1
97 118.7 0.13
97 179.5 0.14
97 199.9 0.14
97 224.2 0.2
97 5 0.13
97 99.8 0.09
97 194.6 0.16
126 4.6 0.12
126 99.5 0.09
127 4.8 0.12
127 65.6 0.09
127 122.1 0.12
126 166.7 0.11
126 200.4 0.13
126 222.3 0.17
127 209.6 0.21
127 223.8 0.25
127 234.2 0.3
127 249.2 0.37
127 5 0.0928
127 9.7 0.0908
127 15 0.1612
127 24.7 0.0948
127 34.3 0.0889
127 45 0.0772
127 59.5 0.04
127 75.6 0.0225
127 84.3 0.05
127 95.2 0.03
127 104.8 0.0176
