"DOY" "Depth" "PON"
140 74.2 0.29
140 124.9 0.251
140 149.8 0.227
140 174.7 0.122
140 199.5 0.099
140 249.4 0.075
171 5 0.325
171 25 0.272
171 45 0.278
171 74.3 0.256
171 99.8 0.252
171 125.1 0.253
171 149.6 0.237
171 174.9 0.092
171 199.6 0.099
171 249.3 0.088
202 4.4 0.297
202 24.3 0.279
202 44.2 0.329
202 74.3 0.331
202 99.2 0.298
202 124.1 0.253
202 149.6 0.125
202 175.9 0.081
202 201.2 0.083
202 248.2 0.066
232 4.9 0.298
232 24.4 0.319
232 44.4 0.346
232 74.2 0.359
232 100.2 0.33
232 124.3 0.223
232 149.6 0.142
232 175 0.121
232 200.2 0.107
232 250 0.074
293 4.3 0.333
293 23.7 0.374
293 44.4 0.326
293 75 0.374
293 99.4 0.292
293 125.1 0.194
293 150.6 0.124
293 175.5 0.093
293 199.1 0.084
324 5.3 0.278
324 25.7 0.281
324 45.7 0.285
324 76.8 0.252
324 101.2 0.274
324 125.3 0.197
324 150.2 0.15
324 174.4 0.115
324 201.9 0.134
324 250 0.132
355 4.4 0.325
355 23.1 0.267
355 45 0.271
355 75 0.257
355 99 0.236
355 124.7 0.138
355 148.8 0.096
355 167.3 0.079
355 198.4 0.073
355 247.9 0.069
20 4.4 0.259
20 23.5 0.221
20 43.6 0.293
20 73.3 0.272
20 99.6 0.275
20 123.5 0.224
20 148.7 0.131
20 173.7 0.096
20 197.3 0.079
51 4 0.253
51 23.8 0.241
51 44.1 0.216
51 74.5 0.261
51 99.5 0.258
51 125 0.205
51 147.2 0.114
51 173.9 0.087
51 199.5 0.075
51 249.6 0.07
80 3.3 0.25
80 25.1 0.226
80 43.4 0.267
80 76 0.237
80 99.9 0.257
80 124.7 0.222
80 148.4 0.182
80 173.7 0.109
80 199.8 0.085
80 248.1 0.071
110 4.1 0.318
110 24.4 0.377
110 44.4 0.343
110 74.4 0.303
110 99.4 0.332
110 124.5 0.297
110 148.7 0.245
110 174.6 0.143
110 198.7 0.135
140 4.1 0.374
140 23.9 0.429
140 43.7 0.378
140 73.9 0.364
140 98.9 0.335
140 124.4 0.318
140 150.8 0.162
140 174.7 0.151
140 200.2 0.115
172 4.1 0.36
172 24.5 0.366
172 43.5 0.519
172 73.7 0.326
172 99.1 0.287
172 123.9 0.29
172 149.2 0.167
172 174.3 0.141
172 249.9 0.09
201 4.9 0.435
201 24.8 0.467
201 43.1 0.333
201 74.9 0.283
201 99.8 0.264
201 125.8 0.258
201 149.3 0.188
201 174.6 0.127
233 4.5 0.374
233 45 0.497
233 75 0.271
233 99.5 0.306
233 123.8 0.237
233 150.6 0.155
233 174.9 0.11
233 200.7 0.082
263 5.1 0.288
263 25 0.286
263 44 0.298
263 75.1 0.301
263 99.9 0.303
263 124.3 0.248
263 149.2 0.175
263 174.7 0.125
263 200.4 0.102
263 249.1 0.086
293 4.9 0.291
293 25.8 0.31
293 45.5 0.349
293 98.5 0.313
293 124.9 0.193
293 150.1 0.134
293 176.3 0.101
293 200.8 0.081
325 5 0.26
325 24.8 0.26
325 45.1 0.262
325 75.2 0.297
325 100.1 0.185
325 124.6 0.15
325 150.7 0.097
325 175 0.076
325 199.8 0.08
354 4 0.348
354 24.5 0.35
354 44.9 0.339
354 75.3 0.329
354 97.8 0.267
354 123.8 0.226
354 149.8 0.114
354 175.2 0.121
354 201.7 0.098
354 249.5 0.108
51 4.8 0.308
51 25.2 0.319
51 44.9 0.336
51 73.7 0.332
51 101.6 0.321
51 123.6 0.238
51 149 0.141
51 175.2 0.115
51 200 0.102
79 5.1 0.329
79 25.3 0.306
79 44.6 0.288
79 73.5 0.32
79 100 0.377
79 125.2 0.223
79 150.7 0.116
79 173 0.101
79 199.4 0.081
140 7.4 0.314
140 24.8 0.326
140 45.5 0.4
140 75.1 0.336
140 100.5 0.293
140 124.6 0.25
140 148.9 0.184
140 174.2 0.143
140 199.6 0.107
140 249.2 0.081
172 12 0.289
172 24.3 0.301
172 45.2 0.352
172 73.7 0.333
172 100 0.335
172 124.2 0.344
172 150 0.172
172 174.3 0.137
172 199.5 0.11
172 248.9 0.076
201 4.9 0.323
201 25.3 0.338
201 45.5 0.334
201 74.5 0.327
201 100.3 0.292
